category,price,rating,stock,discount
A,4519.0,4.487539498587778,In Stock,39.0
A,6161.0,2.012897950373276,Out of Stock,18.0
C,6083.0,2.2334745161481906,Out of Stock,36.0
A,6848.0,4.927541879935664,Out of Stock,26.0
D,1999.0,3.6136907627431376,Out of Stock,20.0
A,1138.0,4.7438746861252925,In Stock,4.0
C,1132.0,2.043756275903754,Out of Stock,12.0
B,6363.0,3.740762109598029,Out of Stock,13.0
D,547.0,1.4760992404140794,In Stock,15.0
D,6841.0,1.9837671407858213,Out of Stock,28.0
B,5194.0,3.016283432098636,Out of Stock,12.0
B,7901.0,3.881902706335059,In Stock,31.0
A,7316.0,1.1431668188554256,In Stock,0.0
B,4700.0,1.3115500364157064,Out of Stock,22.0
B,8686.0,4.033833309413983,Out of Stock,11.0
D,3673.0,2.919233192395452,Out of Stock,40.0
A,1188.0,2.5155349926474044,In Stock,31.0
B,288.0,2.001250539770596,In Stock,11.0
D,2736.0,2.4659582197492225,In Stock,12.0
B,2998.0,4.0855145915665805,In Stock,7.0
C,4037.0,1.4799516752759847,In Stock,43.0
A,5393.0,1.076529754775847,In Stock,47.0
C,3441.0,2.0725125805758653,In Stock,37.0
C,8305.0,2.9378833606705044,In Stock,31.0
C,6046.0,1.2165108660654584,In Stock,12.0
D,9107.0,2.4692634625224508,In Stock,23.0
A,6586.0,3.970816749781454,Out of Stock,13.0
C,3051.0,1.0526185086774729,In Stock,41.0
C,9372.0,2.3077383007026238,Out of Stock,26.0
D,8713.0,4.836304462671157,Out of Stock,38.0
A,8976.0,2.67501243407456,In Stock,5.0
D,7398.0,4.539260482415456,In Stock,45.0
C,9942.0,3.098893348517028,In Stock,41.0
D,2597.0,2.693039161149962,In Stock,22.0
B,4377.0,2.5852738600470944,Out of Stock,23.0
C,1039.0,2.9446429985805467,Out of Stock,44.0
D,4297.0,3.303322214029173,In Stock,5.0
D,4910.0,4.989577354865315,In Stock,45.0
A,9116.0,2.1602775395478866,In Stock,45.0
A,6107.0,1.163184957701506,Out of Stock,22.0
D,8873.0,3.248184261640426,In Stock,41.0
C,1189.0,4.957681199304233,Out of Stock,34.0
B,5054.0,1.893145253491221,In Stock,5.0
D,9794.0,2.1303393764821474,Out of Stock,14.0
B,5031.0,1.8642170364748043,In Stock,25.0
A,2970.0,2.028725181173555,Out of Stock,2.0
C,7873.0,3.9918837757784704,Out of Stock,42.0
A,6911.0,2.3380039764190346,Out of Stock,11.0
C,9306.0,4.131448623805925,In Stock,18.0
D,8255.0,4.1873920005148415,In Stock,36.0
B,4930.0,3.321333154322702,Out of Stock,9.0
D,2797.0,2.9547384924336355,In Stock,26.0
B,3621.0,3.269276521310058,In Stock,16.0
C,4351.0,4.134765173710846,Out of Stock,5.0
D,9356.0,3.333491496319609,In Stock,17.0
B,5510.0,3.782282474356516,Out of Stock,17.0
B,8493.0,3.79811778636372,Out of Stock,3.0
D,9753.0,1.9590636471429348,Out of Stock,8.0
C,6357.0,2.131057287913904,In Stock,5.0
C,7605.0,3.0350170529880938,In Stock,8.0
B,8569.0,4.300744483993222,In Stock,42.0
B,5557.0,2.917713789824017,Out of Stock,14.0
B,8722.0,3.39118847782968,In Stock,26.0
C,8687.0,2.609026341804329,In Stock,19.0
C,1051.0,2.984321747954581,In Stock,10.0
D,5144.0,3.992799957126113,Out of Stock,27.0
C,2261.0,1.154137275042021,Out of Stock,11.0
A,3231.0,2.64807174829098,Out of Stock,8.0
C,1260.0,3.628810070923449,Out of Stock,43.0
A,2720.0,3.068155231448395,In Stock,23.0
C,1250.0,2.805398279237349,Out of Stock,20.0
C,8596.0,4.573302123190464,Out of Stock,35.0
C,6564.0,2.3503275400139074,In Stock,49.0
B,6381.0,4.1717808137240535,Out of Stock,31.0
C,9119.0,2.5889490467889904,In Stock,10.0
D,8081.0,3.646534010385045,In Stock,12.0
A,8171.0,2.059080055374693,Out of Stock,14.0
D,8041.0,4.2507262683713325,In Stock,5.0
D,5297.0,3.933676945392267,In Stock,5.0
A,5310.0,3.6491763940230895,Out of Stock,1.0
B,7293.0,1.9581009208137077,In Stock,29.0
C,9686.0,1.7999740116247285,Out of Stock,19.0
A,1511.0,2.9675683423004284,Out of Stock,7.0
D,828.0,2.153464497259371,Out of Stock,8.0
C,9832.0,4.967090649554048,Out of Stock,2.0
B,1695.0,3.137216935730504,In Stock,7.0
C,2571.0,1.2425196422667808,In Stock,22.0
D,6967.0,2.9294789139842865,In Stock,39.0
D,5597.0,3.116135383834756,In Stock,27.0
C,1972.0,2.2472597886538628,In Stock,10.0
D,521.0,1.109541284390204,Out of Stock,30.0
D,1083.0,3.2856516321952367,Out of Stock,28.0
C,4902.0,3.965778543877458,Out of Stock,31.0
C,1466.0,2.5340613320685823,In Stock,37.0
B,7731.0,4.365546101525959,In Stock,32.0
A,7539.0,3.544582892642101,In Stock,29.0
B,4734.0,2.732656991237321,Out of Stock,0.0
C,5707.0,1.9189810492587636,In Stock,30.0
B,7799.0,1.6778582085029523,In Stock,21.0
D,4304.0,4.590515555651416,In Stock,1.0
D,3740.0,3.611900529725685,In Stock,16.0
D,440.0,1.003436632335775,Out of Stock,10.0
D,2242.0,4.464652126339724,Out of Stock,24.0
C,4661.0,2.102019402424812,In Stock,19.0
C,6194.0,1.3518798216034758,Out of Stock,45.0
C,9731.0,2.1834264982629024,In Stock,12.0
D,5950.0,4.415305570246785,In Stock,18.0
D,6313.0,1.5522474841308491,In Stock,10.0
A,1411.0,2.2838450072484027,In Stock,9.0
D,8808.0,2.536594309582935,Out of Stock,13.0
B,8260.0,1.2885826856726457,Out of Stock,16.0
B,5904.0,4.421146603344385,Out of Stock,31.0
C,6617.0,3.613701308184707,In Stock,13.0
B,7274.0,1.9050049332868788,In Stock,7.0
A,8604.0,3.659524202196421,Out of Stock,48.0
B,9122.0,3.588629928008624,In Stock,45.0
B,4242.0,1.2409129226548612,Out of Stock,23.0
B,3003.0,2.716204723065629,Out of Stock,7.0
D,7759.0,3.0671954832176844,Out of Stock,39.0
A,2562.0,1.153528399592458,In Stock,35.0
B,7416.0,3.1709437574344688,In Stock,34.0
D,2511.0,3.632099331577597,In Stock,33.0
C,9713.0,4.248103068220118,Out of Stock,46.0
D,1669.0,2.105550917462175,Out of Stock,46.0
C,9776.0,4.100424148041165,In Stock,13.0
B,8340.0,2.961243301928114,Out of Stock,33.0
B,7843.0,4.764716532259818,Out of Stock,0.0
C,7973.0,3.9749198711535647,Out of Stock,13.0
B,7038.0,3.759453412523408,Out of Stock,41.0
A,1986.0,2.4139292153414065,In Stock,17.0
B,1202.0,3.2485700974957537,Out of Stock,39.0
C,2501.0,2.6466048791164742,Out of Stock,22.0
D,4298.0,3.559395227223582,In Stock,40.0
B,8642.0,4.002560277890535,Out of Stock,48.0
D,255.0,3.1495754147196213,In Stock,33.0
B,8643.0,1.7295058331033268,Out of Stock,12.0
A,1316.0,3.082218887521531,Out of Stock,24.0
B,1328.0,1.1879353427254578,In Stock,44.0
B,9362.0,1.307786699846018,In Stock,13.0
B,8525.0,4.440149062018778,In Stock,35.0
A,1022.0,4.992002328274693,In Stock,30.0
C,2410.0,3.0206004122632315,Out of Stock,3.0
A,7596.0,2.799564143701305,In Stock,10.0
B,2564.0,1.0707419118643475,Out of Stock,0.0
A,7615.0,3.341888370579414,In Stock,32.0
B,1666.0,4.497136106077314,In Stock,23.0
A,2173.0,1.4828117547033286,In Stock,32.0
C,2347.0,4.459114967051758,Out of Stock,28.0
A,9790.0,1.250023462522429,In Stock,31.0
C,7869.0,1.9131177767875407,In Stock,40.0
C,6139.0,3.71436538530155,Out of Stock,13.0
A,1521.0,1.9581720015130115,In Stock,15.0
B,4397.0,4.09886325085372,In Stock,13.0
C,9301.0,1.3853477731016373,Out of Stock,17.0
D,8571.0,4.147482152594931,In Stock,17.0
B,9699.0,1.9970814585939085,In Stock,41.0
A,986.0,2.099192261401087,In Stock,37.0
A,3190.0,4.955731426319195,In Stock,31.0
A,6229.0,4.089846407785176,In Stock,6.0
B,8991.0,2.1020779963290512,Out of Stock,2.0
D,3182.0,3.636535719006474,Out of Stock,5.0
B,4963.0,2.631434918226218,In Stock,35.0
C,8063.0,2.954655793120616,In Stock,44.0
A,3144.0,1.377917757150986,In Stock,23.0
D,1140.0,1.4556688187098894,In Stock,38.0
A,1853.0,2.6127525607615465,In Stock,9.0
D,3311.0,3.779833637391149,Out of Stock,42.0
B,9772.0,4.386476093744632,In Stock,1.0
B,4688.0,1.0136444576261732,Out of Stock,39.0
C,5135.0,1.3979580883377167,Out of Stock,43.0
C,5131.0,4.236650018713776,In Stock,40.0
B,6750.0,2.240162267358838,In Stock,21.0
A,1448.0,1.578281882282309,In Stock,28.0
D,5841.0,4.241377172414666,Out of Stock,19.0
B,1076.0,3.472829214829641,Out of Stock,12.0
C,2987.0,2.201141319570443,In Stock,31.0
B,7656.0,2.7814611526467017,In Stock,20.0
B,5995.0,3.0914451422446763,In Stock,18.0
B,8240.0,3.652888297989315,In Stock,48.0
C,3305.0,3.9267984425107385,In Stock,5.0
B,702.0,2.2388522777506017,In Stock,45.0
B,5499.0,4.118607924812325,Out of Stock,48.0
D,8711.0,4.232480532787325,In Stock,1.0
B,4364.0,3.4911783151543307,Out of Stock,35.0
A,5281.0,2.1417931536952195,In Stock,41.0
D,7810.0,1.481073746409081,In Stock,38.0
C,3826.0,3.821176637821326,In Stock,43.0
D,1183.0,2.746028971193752,Out of Stock,43.0
B,5973.0,2.7504142463770838,In Stock,42.0
D,4690.0,2.062145611959722,In Stock,13.0
B,5235.0,1.8234310555409712,Out of Stock,11.0
B,3178.0,4.16597742839049,In Stock,20.0
B,1378.0,4.810703849967366,In Stock,42.0
B,7574.0,4.5977691516254655,Out of Stock,28.0
B,1425.0,3.747818332982504,In Stock,40.0
D,5681.0,4.728030580616512,Out of Stock,39.0
C,5350.0,4.408158703019483,Out of Stock,27.0
B,6216.0,3.885563881931149,Out of Stock,10.0
C,4005.0,2.026526908336027,Out of Stock,40.0
A,9854.0,2.694786815958856,Out of Stock,3.0
B,8598.0,4.07081049373118,Out of Stock,29.0
A,9852.0,2.0239450414525084,Out of Stock,26.0
B,3064.0,2.9747131160007165,In Stock,13.0
C,3017.0,3.398362562037509,In Stock,47.0
A,244.0,2.2639855950777465,In Stock,4.0
D,5901.0,3.3303753402358907,In Stock,31.0
B,3019.0,3.434520377922623,In Stock,44.0
D,4042.0,2.9266623201528126,Out of Stock,35.0
B,141.0,2.0441359764942715,In Stock,15.0
C,2463.0,2.946698992249034,In Stock,45.0
B,6103.0,1.6178056362897633,Out of Stock,45.0
A,4861.0,2.394329224388529,In Stock,14.0
D,6057.0,4.7043689461398674,In Stock,48.0
C,7400.0,2.7941732006435323,In Stock,18.0
B,1241.0,3.7281744313784952,In Stock,9.0
A,7280.0,2.1538050811043083,Out of Stock,23.0
B,7356.0,1.8205936286494948,In Stock,11.0
D,7719.0,1.955424858669331,In Stock,39.0
A,5261.0,4.32659017047942,Out of Stock,12.0
C,3481.0,3.041725997087996,In Stock,26.0
A,7150.0,2.9775348341038668,In Stock,12.0
B,906.0,2.2542244098885296,Out of Stock,25.0
D,7053.0,4.346376620059969,In Stock,31.0
A,8339.0,3.5583160168704246,In Stock,22.0
C,1258.0,4.516189227185093,Out of Stock,37.0
A,3020.0,3.3865934001566265,In Stock,28.0
C,6491.0,3.65187530877077,Out of Stock,18.0
A,5690.0,2.5306474795298133,In Stock,42.0
D,6666.0,3.164385411443798,In Stock,36.0
A,5398.0,2.939921335737986,In Stock,31.0
D,446.0,2.8140453322401124,Out of Stock,17.0
A,9456.0,1.2277164148513249,In Stock,40.0
D,9390.0,1.736712394123578,Out of Stock,4.0
D,9180.0,3.8598796191547,In Stock,23.0
C,2087.0,2.6473426988442728,In Stock,37.0
A,7681.0,2.873701777286475,In Stock,33.0
D,981.0,1.999054720998516,In Stock,18.0
D,3768.0,1.2637828993988798,In Stock,40.0
A,6998.0,4.864179522411147,In Stock,16.0
A,4726.0,4.108624763502121,Out of Stock,44.0
A,2748.0,2.1759963657797043,In Stock,22.0
C,4894.0,2.511933277495864,Out of Stock,33.0
C,2330.0,3.5882837468157835,Out of Stock,19.0
A,7425.0,3.930987621518365,Out of Stock,24.0
D,2424.0,3.0393797248819894,Out of Stock,32.0
A,8066.0,2.094705204383652,Out of Stock,21.0
D,7814.0,4.75101557951775,In Stock,23.0
D,5589.0,4.08549234657089,In Stock,19.0
B,1354.0,4.168446392320217,In Stock,14.0
C,9391.0,3.8640201472357,In Stock,20.0
A,3946.0,3.076960129851312,Out of Stock,19.0
C,1358.0,1.5106161458925813,In Stock,29.0
A,3658.0,3.971626350415578,In Stock,3.0
D,5271.0,3.41348378152788,Out of Stock,25.0
B,2804.0,1.093120035659791,Out of Stock,42.0
B,4715.0,4.057045455412436,Out of Stock,30.0
C,3163.0,1.930078186435462,In Stock,0.0
B,2807.0,1.3806677003779615,Out of Stock,34.0
A,5755.0,4.3245839400566455,Out of Stock,3.0
A,1742.0,4.054814421396038,In Stock,49.0
B,1580.0,1.25118001037103,In Stock,20.0
D,336.0,2.7361140845927165,In Stock,40.0
D,9288.0,2.047267595920572,In Stock,22.0
C,892.0,1.3146708410929242,Out of Stock,41.0
D,6151.0,3.2384502324639404,In Stock,15.0
B,5182.0,1.827760519685472,Out of Stock,1.0
C,2312.0,3.3255622754078424,Out of Stock,16.0
A,112.0,3.7344032317676903,Out of Stock,23.0
B,9752.0,4.465997245320272,In Stock,29.0
A,7535.0,2.684755826345504,In Stock,13.0
B,6602.0,1.6291957035822064,Out of Stock,28.0
A,6129.0,3.733946610175,Out of Stock,7.0
C,9841.0,3.8094137869601727,In Stock,42.0
D,7648.0,3.107604524312912,Out of Stock,20.0
B,6456.0,4.790299401611351,Out of Stock,15.0
C,624.0,1.1772988848547423,Out of Stock,40.0
C,1801.0,4.852242151770946,In Stock,18.0
B,7431.0,3.5174456287046185,Out of Stock,20.0
B,8711.0,4.488839993338615,In Stock,5.0
B,6204.0,3.803964327321224,In Stock,27.0
D,5341.0,1.0571722325695556,In Stock,49.0
C,2841.0,4.608064614784771,Out of Stock,4.0
A,3118.0,3.556225066519996,Out of Stock,49.0
B,2875.0,2.6846062729408637,In Stock,13.0
D,2626.0,2.3712130046018745,Out of Stock,22.0
B,9660.0,1.6029732109621286,In Stock,13.0
A,6297.0,4.575080451930836,Out of Stock,5.0
A,4611.0,1.5987478538921898,Out of Stock,19.0
A,8332.0,2.319985365624958,Out of Stock,46.0
D,875.0,2.873781117013584,Out of Stock,28.0
C,1349.0,3.6871301770289926,Out of Stock,35.0
D,4412.0,4.908254782374193,In Stock,41.0
B,653.0,1.9007010249149936,Out of Stock,6.0
B,2257.0,1.90938569826758,In Stock,45.0
B,4382.0,2.74450124932976,In Stock,39.0
C,9500.0,1.0873948873090875,In Stock,30.0
B,166.0,4.166715605612955,Out of Stock,1.0
D,7118.0,2.4584548971402427,Out of Stock,43.0
A,4951.0,4.8839025360044666,Out of Stock,23.0
B,2815.0,1.272567327311628,In Stock,1.0
B,6290.0,4.403846454366073,Out of Stock,34.0
A,9093.0,4.316501678844242,In Stock,9.0
B,373.0,2.255441320160187,In Stock,0.0
A,3763.0,4.543244286729953,Out of Stock,13.0
D,9254.0,3.950844613186496,Out of Stock,6.0
A,3275.0,4.220466085748881,In Stock,44.0
A,7967.0,2.6920837831256943,In Stock,48.0
A,153.0,4.507532756226666,In Stock,8.0
C,1549.0,4.9201060080712615,Out of Stock,49.0
D,8094.0,1.3265823298382928,In Stock,22.0
A,1516.0,3.0653659552351487,Out of Stock,26.0
C,131.0,1.5132316203787592,Out of Stock,34.0
A,786.0,4.453296498183544,Out of Stock,3.0
C,698.0,1.0003662024741131,In Stock,39.0
A,1883.0,3.4573934291458968,Out of Stock,3.0
C,4784.0,1.5226824999001147,In Stock,48.0
B,4466.0,2.6048441093716592,In Stock,17.0
D,6906.0,2.1277348183742424,In Stock,7.0
C,1125.0,2.84810954028506,In Stock,40.0
C,5176.0,4.094455392438393,Out of Stock,40.0
B,2281.0,3.942969008675178,Out of Stock,40.0
C,9615.0,2.845403294594589,In Stock,41.0
D,1666.0,1.2314206218420702,Out of Stock,22.0
A,5925.0,3.3808196880250336,In Stock,43.0
D,3479.0,1.8010249722634015,In Stock,39.0
B,4517.0,2.223675516470062,In Stock,43.0
B,1160.0,3.3629090517254503,Out of Stock,33.0
B,6835.0,3.977712863449727,In Stock,24.0
D,119.0,4.179211664673361,In Stock,0.0
B,4680.0,3.600736411956428,In Stock,10.0
B,8761.0,1.1723976920442256,Out of Stock,10.0
B,6014.0,2.740670957561945,In Stock,7.0
C,3212.0,1.0910642742450496,In Stock,0.0
B,5694.0,4.794151328211388,Out of Stock,47.0
D,2408.0,3.032031230888091,Out of Stock,23.0
B,9164.0,4.525919840386209,In Stock,2.0
A,1285.0,3.318983323315053,In Stock,43.0
B,9041.0,4.718581080022467,Out of Stock,42.0
B,7475.0,1.3853874993597444,Out of Stock,44.0
B,2134.0,3.1163714465775616,Out of Stock,0.0
C,7953.0,2.73007516391511,Out of Stock,49.0
D,3496.0,3.372831657780841,In Stock,23.0
C,6339.0,4.250495609070635,Out of Stock,19.0
C,4045.0,2.8659416778237192,In Stock,20.0
D,2159.0,3.8081328537915393,Out of Stock,17.0
A,3594.0,4.2226453594308175,In Stock,3.0
D,3259.0,2.392976277379492,Out of Stock,32.0
A,3057.0,4.076127733272097,In Stock,12.0
C,9524.0,4.145427581692623,Out of Stock,9.0
B,7472.0,3.5780314983987744,In Stock,42.0
D,7059.0,4.651043024048134,Out of Stock,49.0
A,9709.0,4.773004112072385,In Stock,26.0
D,5008.0,2.041752598572117,Out of Stock,17.0
B,4618.0,2.009455209138025,Out of Stock,12.0
A,9891.0,1.990890376733064,In Stock,19.0
B,3509.0,3.758170723112773,In Stock,33.0
C,6973.0,3.16106293507514,Out of Stock,39.0
A,7138.0,4.222495917261503,Out of Stock,25.0
D,454.0,2.6905264080381817,Out of Stock,32.0
A,844.0,4.86253978510935,In Stock,39.0
C,5294.0,3.168258002074569,Out of Stock,38.0
D,7190.0,3.857658990233968,Out of Stock,21.0
B,4711.0,3.829284295339148,In Stock,33.0
D,5762.0,4.687800452003589,In Stock,48.0
B,3870.0,4.292567764648681,Out of Stock,21.0
A,8284.0,1.3160250648733314,In Stock,34.0
B,5639.0,3.882058260924057,Out of Stock,14.0
C,7720.0,1.0160041094225316,In Stock,43.0
C,1857.0,2.8763061330729176,In Stock,14.0
D,5602.0,4.58778375225685,In Stock,36.0
B,8740.0,1.7579877406222764,Out of Stock,37.0
D,8128.0,2.071935100772471,In Stock,24.0
B,5140.0,2.447585241902818,Out of Stock,17.0
D,2792.0,3.5949488586972147,In Stock,24.0
A,1151.0,4.488094881666713,In Stock,20.0
D,7682.0,1.9773698968656783,In Stock,23.0
C,5375.0,2.392243710003453,Out of Stock,47.0
A,7484.0,3.3452162889901467,In Stock,40.0
A,3592.0,3.7969776703120193,Out of Stock,35.0
A,887.0,3.998443339610503,Out of Stock,0.0
D,6341.0,3.562411989592447,Out of Stock,12.0
D,7553.0,4.189326034817212,Out of Stock,16.0
B,9502.0,4.830796215227716,In Stock,49.0
C,6262.0,2.957987474456888,Out of Stock,29.0
C,3235.0,1.6284740844764531,Out of Stock,9.0
A,3330.0,2.9223576661082267,In Stock,17.0
D,6481.0,3.807816377026811,Out of Stock,43.0
A,234.0,3.9572129827064617,In Stock,24.0
D,5686.0,4.721427525804352,In Stock,24.0
A,6808.0,3.5813497144954445,In Stock,49.0
D,1161.0,4.874558346923607,Out of Stock,30.0
A,4209.0,1.8401845299243047,In Stock,44.0
C,8447.0,4.526252556068596,Out of Stock,20.0
C,9601.0,1.232166248981582,Out of Stock,29.0
B,6512.0,2.098468779297668,In Stock,34.0
B,6483.0,1.1300987495383437,Out of Stock,12.0
C,1956.0,4.9655795654160055,In Stock,31.0
C,4820.0,2.7722747646944583,In Stock,45.0
C,7216.0,4.522072770322114,In Stock,38.0
A,6700.0,2.737587965062941,In Stock,42.0
D,5752.0,2.012980595337629,Out of Stock,4.0
A,9098.0,2.832589819631472,Out of Stock,41.0
D,9534.0,1.4683507339973354,Out of Stock,3.0
A,4767.0,1.621407908096922,In Stock,30.0
D,7866.0,4.453749925899485,Out of Stock,0.0
A,6578.0,2.8755560865102137,Out of Stock,37.0
A,3563.0,3.515513302884387,Out of Stock,45.0
B,9877.0,2.4585776056534736,In Stock,37.0
B,4795.0,4.011203578614811,In Stock,16.0
B,6445.0,1.4593656000772106,Out of Stock,31.0
D,3650.0,4.831748595229658,In Stock,31.0
B,5167.0,4.250612728938442,In Stock,31.0
B,3394.0,2.852289927135028,Out of Stock,11.0
D,4887.0,2.073943243443014,Out of Stock,26.0
C,2080.0,1.4009465285284022,In Stock,27.0
A,456.0,1.1065448356185934,Out of Stock,35.0
A,1921.0,4.39901880719051,Out of Stock,43.0
A,4419.0,3.8302556077829486,Out of Stock,29.0
D,8035.0,4.801887865613869,Out of Stock,17.0
A,3038.0,1.2669635061988616,Out of Stock,20.0
B,2488.0,2.487798884076299,In Stock,47.0
A,8653.0,2.498077666924022,In Stock,31.0
A,7601.0,2.8804799527058487,Out of Stock,26.0
D,4896.0,3.426296226220652,Out of Stock,41.0
D,5412.0,4.188932115133442,Out of Stock,13.0
D,9091.0,3.296485514428237,Out of Stock,32.0
B,1329.0,3.9410357922533175,In Stock,31.0
C,1551.0,3.931882518751572,Out of Stock,23.0
C,9290.0,1.2230012577772382,In Stock,22.0
D,9351.0,4.316931621935204,In Stock,4.0
A,7977.0,2.585101833971094,In Stock,40.0
B,8594.0,4.747326354098632,Out of Stock,9.0
A,2896.0,4.203366830243058,In Stock,41.0
C,8417.0,4.97662740396623,Out of Stock,16.0
A,5148.0,1.8996701786254293,In Stock,35.0
C,4088.0,2.866185077388362,Out of Stock,0.0
C,9638.0,2.4844490643164896,Out of Stock,17.0
D,5217.0,4.83169109273329,Out of Stock,24.0
C,8564.0,3.7825261772369863,In Stock,34.0
C,4939.0,2.8041111070461184,In Stock,46.0
A,5317.0,3.194122133459595,In Stock,5.0
A,8787.0,2.768524323302727,In Stock,23.0
C,9007.0,4.094627906154061,In Stock,15.0
C,136.0,4.919616415138267,In Stock,12.0
A,550.0,1.799935831325174,In Stock,33.0
B,1586.0,4.568139876601164,Out of Stock,9.0
C,9911.0,4.492138043762864,In Stock,46.0
D,5511.0,1.6928100984426524,In Stock,39.0
D,9354.0,3.489575723985042,Out of Stock,25.0
D,939.0,2.578323867647969,Out of Stock,42.0
D,1725.0,2.659357104571012,In Stock,26.0
B,2136.0,4.131789561638918,Out of Stock,6.0
C,2396.0,2.9057578305433585,Out of Stock,6.0
A,1595.0,4.544642464196663,Out of Stock,23.0
B,2443.0,4.444350795507535,In Stock,27.0
B,1101.0,3.2450944478750494,Out of Stock,42.0
D,8823.0,2.8330915256321045,Out of Stock,33.0
D,1672.0,1.044674854842429,Out of Stock,4.0
C,9341.0,3.8028267178081943,In Stock,15.0
C,6836.0,2.9146062714870578,In Stock,17.0
A,4167.0,2.4320364281041256,Out of Stock,22.0
C,7630.0,3.475272523514235,In Stock,0.0
D,2424.0,4.716295222880507,In Stock,49.0
D,9847.0,3.6676485548287943,Out of Stock,49.0
B,843.0,2.752754219152913,Out of Stock,48.0
